,Unnamed: 0,cik,year_end,symbol
870,870,883569, 1228,FOSL
871,871,921825, 1231,FR
872,872,1399935, 0201,FRAN
873,873,834285, 1231,FRBK
874,874,40, NULL,FRC
875,875,712534, 1231,FRME
876,876,11, 40,FRO
877,877,34903, 1231,FRT
878,878,1435508, 0930,FSFG
879,879,1069394, 40,FSI
880,880,1274494, 1231,FSLR
881,881,37914, 1102,FSM
882,882,1031316, 1231,FSP
883,883,277509, 1231,FSS
884,884,352825, 1231,FSTR
885,885,846913, 1231,FTEK
886,886,1681459, 40,FTI
887,887,928054, 1231,FTK
888,888,1262039, 1231,FTNT
